living area,number of floors,Built Year,Price,bedrooms,bathrooms
3650,2.0,1921,2380000,5,2.5
2920,1.5,1909,1400000,4,2.5
2910,1.5,1939,1200000,5,2.75
3310,2.0,2001,838000,4,2.5
2710,1.5,1929,805000,3,2.0
2600,1.0,1951,790000,3,2.5
3660,2.0,2006,785000,5,3.25
2240,2.0,1923,750000,3,1.75
2390,1.0,1955,750000,3,2.5
2200,1.5,1920,698000,4,2.25
2820,2.0,1979,675000,5,2.5
1820,1.5,1945,650000,4,2.0
1520,1.5,1945,640000,4,2.0
2710,2.0,2000,630000,4,2.75
1750,2.5,2005,626000,3,2.25
2820,2.0,2014,625000,4,2.5
2730,1.0,2007,625000,4,3.25
2360,1.0,1948,615000,3,1.75
2730,2.0,1991,612500,4,2.5
3240,2.0,1995,604000,3,2.5
2330,1.0,1980,588500,3,1.75
3310,2.0,2012,555000,4,2.5
1940,1.0,1976,550000,4,2.5
2910,1.5,1979,550000,3,1.75
2860,2.0,2004,499950,4,2.5
1600,1.0,1959,495000,4,1.75
2190,1.0,1968,491500,4,1.75
880,1.0,1938,490000,2,1.0
2710,2.0,1989,482000,4,2.5
2210,1.0,1976,470000,5,2.5
1710,1.0,1948,463000,3,1.75
2680,2.0,2013,459990,3,2.5
2430,1.0,1985,452500,3,2.5
1270,3.0,2001,445700,3,2.5
2160,1.0,1966,440000,4,2.25
800,1.0,1944,440000,2,1.0
1770,2.0,1990,439950,3,2.5
1970,2.0,1977,437500,3,2.25
1770,3.0,2007,436110,3,2.5
1450,1.0,1954,435000,4,1.0
1920,1.0,1954,430000,4,1.5
2000,1.0,1963,420000,3,2.25
1570,1.0,1956,419000,3,1.5
1930,2.0,1996,407500,3,2.5
1960,1.0,1957,403000,3,2.0
3630,1.5,1979,400000,4,2.5
1320,2.0,2008,385000,3,3.25
1560,1.0,1967,382500,4,1.75
3110,2.0,1997,367500,4,3.0
1090,1.0,1955,365000,3,1.0
1930,1.0,1966,342000,3,2.0
1350,1.0,1976,335000,2,2.0
1580,1.0,1978,335000,3,2.25
1160,1.0,1968,315000,3,1.0
1340,1.5,1955,313000,3,1.5
850,1.0,1950,308500,2,1.0
2540,2.0,2006,300000,3,2.5
1630,2.0,2009,295000,2,2.5
1850,1.0,1992,287200,3,3.0
2200,2.0,1987,285000,4,2.5
2090,1.0,1987,285000,3,2.5
1800,1.0,1968,284000,3,1.75
1180,1.0,1983,275000,3,1.5
1480,1.0,1974,260000,4,2.0
1370,1.0,1987,257950,3,1.75
1200,1.0,1965,242500,3,1.5
1210,1.0,1949,235000,2,1.0
2920,2.0,2012,625000,4,2.75
900,1.0,1944,553000,2,1.0
1650,1.0,1986,379880,3,2.5
1010,1.0,1973,310000,3,1.0
2850,2.0,1980,783500,3,2.5
2680,1.0,2004,775000,2,2.5
2280,1.0,1900,628000,4,2.0
2200,1.0,1988,365000,3,2.5
2530,2.0,1990,331950,4,2.5
13540,3.0,1999,2280000,7,8.0
2220,2.0,2000,1430000,2,2.5
4010,2.0,1971,1400000,5,3.5
4340,2.5,1992,1090000,4,2.5
3190,1.0,1976,1030000,5,2.75
1330,1.0,1928,900000,3,1.0
4420,2.0,2006,890000,4,4.25
4490,2.0,2006,890000,5,3.5
3690,2.0,1998,865000,4,3.0
2600,1.0,1960,855000,4,2.75
2170,2.0,1982,831000,4,3.0
3400,2.0,2007,830000,4,2.5
2920,2.5,1908,823000,6,1.75
3180,2.0,1990,800866,5,2.5
3240,2.0,1994,800000,3,2.5
1330,1.0,1961,787000,3,1.75
2730,2.0,1996,780000,4,2.5
2350,1.5,1939,770000,3,2.0
2120,1.0,1960,755000,4,2.5
2010,1.5,1902,740000,4,1.75
3180,2.0,2000,736500,4,2.5
2450,2.0,2013,712198,4,2.5
2490,2.0,2003,705380,3,2.5
1680,3.0,1909,670000,3,2.5
2800,1.0,1963,665000,4,2.5
1390,1.0,1924,657100,4,1.0
2160,1.0,1949,650000,3,1.5
2440,2.0,2014,631625,4,2.5
1990,1.0,1973,627000,4,2.25
1480,2.5,2005,620000,3,1.75
1800,1.0,1942,618500,3,2.0
2300,1.0,1977,615000,4,1.75
1670,1.0,1976,600000,3,1.75
1880,1.0,1945,600000,3,1.75
1770,1.5,1949,585000,2,1.0
2540,1.0,1942,580000,2,1.0
2010,1.0,1975,570000,3,2.25
1900,2.0,1987,560000,3,2.5
1940,2.0,2009,555000,3,2.5
1140,1.0,1908,549000,2,1.0
2910,2.0,2008,549000,4,2.5
2740,1.0,1960,541125,5,2.75
1270,2.0,2000,531000,2,3.0
2550,1.0,1960,525888,5,1.75
1560,1.0,1944,524000,3,1.75
1790,2.0,2010,509900,3,2.5
2070,1.0,1963,501000,4,1.0
2910,2.0,2006,499000,4,2.5
3200,1.0,1953,497300,6,2.75
2010,1.0,1977,487585,4,1.75
2340,1.0,1979,485000,4,3.0
3040,2.0,2007,478000,3,2.5
1480,1.5,1928,449250,4,2.0
1840,1.0,1942,435000,5,2.0
1590,2.0,2014,419190,2,2.5
1410,1.5,1930,418000,3,2.0
1408,3.0,2005,416286,3,2.5
1620,2.5,2010,415000,3,2.25
1800,1.0,1978,410000,3,2.25
1410,3.0,2005,406100,3,2.25
1410,2.0,2006,405000,2,3.0
2110,1.0,1948,400000,2,1.75
840,1.0,1955,400000,2,1.0
2230,2.0,1954,398750,3,2.5
